,country,description,points,price,variety,description_length
39,Italy,viognier well warm climate sicilian expression french grape show pretty floral nuance backed white almond orange blossom pair wine sea bass grilled lemon leaf fried squid,86,18.0,Viognier,224
40,Spain,yeasty bready aroma cantaloupe citrus feed undefined palate foam tongue citrus melon flavor bland powdered sugar orange note finish,82,10.0,Bobal,189
41,US,sourced vineyard planted gary andrus elegant expressive wine shaded lovely rose tone scent rose petal ripe cherry emerge instantly glass well defined balanced detailed sandalwood cocoa powder cinnamon orange liqueur highlight drink,93,45.0,Pinot Noir,331
42,France,classic blend figeac cabernet sauvignon cabernet franc give beautifully dense wine great tannin wine perfumed complex tannin finely cushioned generous black fruit acidity wine long term aging drink,97,90.0,Bordeaux-style Red Blend,298
43,US,wine wear alcohol better similarly heady wine yes bit hot heat come across slight chili pepper edge blackberry dark unsweetened chocolate flavor wine way balanced elegant hard imagine perfect barbecue red,90,31.0,Primitivo,316
44,US,like regular chardonnay beuna vista regular pinot noir medium bodied easy drinking version variety enough herbal complexity keep interesting cherry tinged fruit ripe tannin supple finish burst crisp acidity,87,22.0,Pinot Noir,276
45,US,similar petite sirah dark full bodied red wine significant tannin dry berry currant spice flavor kind rustic call mind barbecue,85,30.0,Teroldego,180
46,France,quite green style champagne clean crisp one champagne cooperative great value wine pleasing freshness imported grape expectation georgia,86,38.0,Champagne Blend,196
47,US,first chaleur estate seemed closed tight lightly herbal grudgingly opened streak olive chalk coffee ground second bottle much brighter layered plum cherry chocolate herb impression pepper subtle sleek wine built age need decanted,93,75.0,Red Blend,317
48,US,elegant cabernet ready drink tonight hold year show good napa character lush ripe tannin flavor black currant blackberry cedar cry good steak,88,30.0,Cabernet Sauvignon,215
49,US,light entry level red fresh berry aroma touch dried herb dry appealing softness texture,85,15.0,Red Blend,129
50,US,new malbec soft fruity extremely dark wine scent raisin pretty fruit flavor boysenberry black cherry lighter streak coffee caramel woven balance excellent though wine show depth flavor expressed inky dark color,88,28.0,Malbec,317
51,France,light fresh wine showing pineapple pear flavor delicate way lift crispness fine touch citrus hint toast attractive easy white burgundy imported frederick wildman son ltd,85,17.0,Chardonnay,224
52,Spain,dark deep cola black fruit truffle aroma good lift palate overall classified dense warm climate wine big body equally large flavor black plum olive coffee seems short little simple finish,87,40.0,Monastrell,278
53,US,light citrusy dry riesling feature pleasant floral spice note lack little zip finish,83,12.0,White Riesling,124
54,US,stiff tart young wine need year cellaring fill balance right vineyard full bodied tannin abundance,88,28.0,Cabernet Franc,172
55,US,thin watery diluted citrus flavor lot raw acidity,81,15.0,Fumé Blanc,69
56,US,sobra brazilian portuguese leftover bordeaux blend recipe change every year nice drinking well smooth nicely resolved mix black fruit smoky wood pepper bit bacon fat,88,24.0,Red Blend,233
57,US,côtes du rhône style blend meant drunk early around weekday meal among terre rouge easiest drink find wine lot like wine high toned cherry boysenberry aroma flavor trace black olive jaunty gamy pepper,88,18.0,Rhône-style Red Blend,277
58,France,simplest fruitiest cahors made gaudou still structured wine firm young tannin need round plenty fruity fresh black currant flavor cut crisp acidity wine need age drink,87,17.0,Malbec-Merlot,268
59,US,burgundian technique used wine aroma taste technique dominate wine heavy leesy yeasty toasted oak note dominate rather subtlely support underlying fruit,83,35.0,Chardonnay,222
60,Spain,fresh smelling note green melon apple honey mineral simple complex crisp apple orange flavor chunky slightly pithy finish good casual albariño steer wrong,87,14.0,Albariño,250
61,US,sourced bacchus vineyard oaky buttery chardonnay fine every day quaffer oaky flavor quickly overtake fruit simple clean apple flavored,85,17.0,Chardonnay,191
62,US,light almost effervescent glass popular grenache based pink doug margerum offer yeasty champagne like aroma soft lemon peel scent wet slate minerality palate tingling acidity delivers chalky lime cotton candy flavor bound together compelling tension,91,21.0,Rosé,299
63,US,made equal amount pinot noir chardonnay wine aged lee four year give fabulous creamy yeasty complexity tantalizing flavor lime orange zest roasted hazelnut mineral smoke absolutely wonderful hold develop bottle least case produced,96,85.0,Sparkling Blend,372
64,US,nice dry lot black pepper infused wild blackberry flavor wrapped big pliant tannin lot crunchy acidity make wine sharp great rich steak,87,32.0,Syrah,199
65,US,monstrous mix mourvèdre syrah calaveras dalton vineyard twisted oak river skull open heady nose bright cherry black tea candied dark plum show bright acidity pleasantly plump wine tannin resolved yet rightfully long finish enveloped raspberry flavor,88,35.0,Rhône-style Red Blend,349
66,Italy,bright buoyant style brunello drink easily also delivers sophistication complexity expect montalcino open crisp tonic aroma cassis wild berry subtle aroma vanilla toasted nut back,91,55.0,Sangiovese Grosso,269
67,Italy,aged stainless steel preserve fresh clean flavor expression favorita little known white wine grape northern italy offer lively tone lemon zest white blossom cut grass,86,16.0,Favorita,212
68,US,high acidity ripe pineapple vanilla flavor simple wine sweet sour flavor like sour cough drop,83,7.0,Pinot Grigio,136
69,US,ever since tamber bey made switch oakville fruit vineyard yountville cabernet dropped quality dry tannic uninteresting harshness make difficult appreciate blackberry cherry fruit,85,42.0,Cabernet Sauvignon,262
70,Spain,lesson contrast nose weedy sweet green strawberry aroma mixing caramel palate also green slightly bitter offset jammy berry sweetness medium term weight burdensome sugar clumsy finish,82,15.0,Tempranillo,276
71,US,come bit flat streak cardboard fruit fresh given vintage,81,14.0,Riesling,113
72,Spain,suggest little time bulky medicinal tempranillo despite color weight prickly sour ripe flavor finish short overriding impression underdeveloped,82,11.0,Tempranillo,225
73,Italy,brambly note forest floor underbrush backed enough fresh fruit keep wine chewy fresh mouth also get note wet tobacco wild mushroom add complexity,87,22.0,Barbera,211
74,Italy,modern winery located foot picturesque town barolo cascina adelaide proudly produce bold innovative interpretation barolo powerful generous wine big spice berry smoke mineral tone card play best however intensity persistency,93,88.0,Nebbiolo,307
75,Italy,prosecco cartizze cru offered excellent bortolin estate boast mineral note talc powder followed plush creamy peach yellow fruit wine end feminine note fresh flower,88,30.0,Glera,232
76,France,rounded texture smooth wood yellow fruit generous wine weight richness tempered acidity prominent apple skin character another month wine richness show better,89,45.0,Chardonnay,237
77,US,oregon pinot much better well made wine top flight vintage brambly black cherry fruit carry streak cola ripe moderate tannin balancing medium long finish,89,18.0,Pinot Noir,218
78,Italy,open aroma forest floor porcini mushroom espresso straightforward palate offer bright berry coffee grilled herb alongside firm tannin drink,88,28.0,Nebbiolo,182
79,France,atypically dark color brassy châteauneuf blanc come across aromatically muted neutral flavor ample breadth lacking richness depth something conundrum,85,48.0,Rhône-style White Blend,210
80,US,feel soft cloyingly sweet pineapple jam buttered popcorn flavor beginning tired old drink,82,34.0,Chardonnay,125
81,US,full round snappy acidity brings life lift luscious fruit delicious wine aimed like festival green yellow fruit glass fine texture length defining mineral streak elevates well beyond fruity medium term aging potential well,91,22.0,Chardonnay,336
82,US,ultrarich ripe cabernet marked jammy blackberry blueberry cherry fruit flavor milk chocolate sweetness soft intricate tannin made soft modern style best next six year,90,50.0,Cabernet Sauvignon,228
83,US,bit rugged hot mouth offer good array plummy cherry flavor bright zingy acidity touch smoky oak,84,16.0,Pinot Noir,132
84,US,steep sonoma slope mount st helena come tannic concentrated young cabernet dramatic structure flavor massively packed blackberry dark chocolate pain grillé wine aged new oak add smoky spice overtone drink,93,40.0,Cabernet Sauvignon,300
85,France,lightly fruity fresh wine crisp acidity although without much definition aftertaste clean bringing attractive citrus red currant fruit screwcap,84,12.0,Bordeaux-style Red Blend,184
86,US,one russian river premier sauvignon blanc producer although recent vintage slipped quality good wine dry crisp citrus gooseberry spice flavor missing richness earlier vintage,87,35.0,Sauvignon Blanc,249
87,Spain,apple nectarine aroma clean snappy hint yeast based vanilla fresh citric palate delivers lime green apple pineapple nectarine flavor finish clean new razor nothing bitter pithy,88,14.0,Verdejo,245
88,US,dull dusty nose burly zin open glass offering slight sweetness blackberry vanilla amid soft texture structure,86,22.0,Zinfandel,156
89,US,classic lodi cab vintage hot cool wine soft lush milk chocolate cassis flavor vanillin sweet char oak easy delicious wine drink,88,59.0,Cabernet Sauvignon,218
90,US,late disgorged wine released age year beautiful wine notable especially ultrafine feeling mousse bubble refined silky rich flavor lime strawberry toasty lee mineral spectacular sparkling wine many year development ahead,95,50.0,Sparkling Blend,330
91,US,lot zesty acidity pinot noir giving pomegranate rhubarb red cherry licorice flavor bright edge wine dry complexly layered interesting bit primary fruit balanced enough develop additional nuance next six year,92,56.0,Pinot Noir,284
92,US,butterscotch pineapple peach jam flavor mark chardonnay fortunately balanced crisp acidity certain minerality obvious crowd pleaser would score higher except seemingly sweet finish,85,15.0,Chardonnay,235
93,Italy,fresh berry young spice raw note blueberry raspberry color bright blend montepulciano sangiovese central italy wine sharp immediate term delivery easy tannin bright acidic finish,86,10.0,Red Blend,247
94,US,made tempranillo really pleasant rosé show balance rare california totally dry crisp relatively low alcohol wine manages long deep creamy spicy cherry raspberry vanilla bean flavor great job,87,10.0,Tempranillo,253
95,US,pungent baked plum baking spice shenandoah barbera soft rustic yet refined jolt mocha espresso finish expert acidity enveloping wine pair mediterrean themed food,88,25.0,Barbera,223
96,US,big bold concentrated full bodied wine given complete new barrel lee stirring treatment deep gold color ripe pear buttered toast aroma transition wave pear apple palate lingering finish,91,20.0,Chardonnay,255
97,US,like em big oaky one aroma flavor wood grilled peach roasted red apple buttery toast rich nuttiness generously abound mouth full slightly fat moderate acidity medium length smoky finish,85,25.0,Chardonnay,267
98,US,mix vineyard avas go blended syrah co fermented viognier viognier definitely present wine top end grapefruit citrus adding scent flavor acid full forward acidic little hot delivers plenty flavor front quite layering flavor walter dacon syrahs express,88,30.0,Syrah,402
99,France,finely structured wine tannin fitting well rich texture berry fruit dark plum bitter coffee adding extra dimension,88,44.0,Malbec,147
100,US,aroma greet glass bring flower cherry hint cured meat wine already drinking nicely elegant mix pie cherry fruit pastry flavor,88,29.0,Pinot Noir,194
101,US,winery flagship red vintage cabernet sauvignon merlot syrah sturdy structured age syrah component pop pepper spice cab merlot give muscle verve youthful lovely floral note pure pretty berry fruit shine ripe graceful wine sweet fruit pleasing midpalate clean textural finish,92,42.0,Red Blend,405
102,US,nice smooth merlot early drinking plump cherry cocoa cola tobacco soft acid even softer tannin,85,23.0,Merlot,154
103,US,price get cabernet show pretty good napa character ripe forward black currant tough tannin hit sweet oak lot going could even age year drink give couple hour airing,90,22.0,Cabernet Sauvignon,268
104,Italy,food friendly blend sangiovese syrah cabernet sauvignon cabernet franc show easy rich intense fruit flavor cherry blackberry plus subtle spice note,88,20.0,Red Blend,184
105,France,firm stony wine dry tannin give structure intense acidity red cherry flavor dense concentrated solid feel demand several year aging,91,28.0,Gamay,201
106,Spain,candied fruit punch bowl aroma call sophisticated mouth pretty much follows suit tart rubbery raspberry fruit come bit hot raw tough full flavor sort like chewing plum skin,84,12.0,Mencía,246
107,Italy,aroma black cherry licorice leather violet whiff tobacco open wine palate still bit closed delivers black raspberry wild cherry anisette note black pepper alongside big brooding tannin need time come around drink,90,51.0,Nebbiolo,280
108,US,fresh full bodied juicy flavor dusty dark plum chocolate aged french american oak added background note tobacco vanilla palate particularly finish,87,24.0,Petite Sirah,226
109,Italy,il puro simple genuine expression merlot soft cherry nuance backed light shading spice mineral texture smooth silky although simple wine deliver easy drinking pleasure,85,12.0,Merlot,238
110,US,soft rich pineapple lemon candy oak flavor simple chardonnay benefit acidity balance nice basic chard everyday price,84,11.0,Chardonnay,168
111,US,light ruby color offer fresh raspberry red cherry aroma slightly softer flavor ripe plum smooth texture medium bodied easy enjoy,86,8.0,Pinot Noir,169
112,Italy,lasagna meat filled ravioli mushroom risotto would make good pairing partner mild crisp red offer note red berry almond cola,86,36.0,"Corvina, Rondinella, Molinara",156
113,Italy,banfi present easy fuss chianti classico showcase sangiovese typicity personality profoundly food friendly wine built natural acidity pair butter cream based pasta dish,87,18.0,Sangiovese,225
114,US,notable firm minerality acidity distinguished mouthfeel could little richer offer intricate raspberry sour cherry candy blueberry cola sandalwood flavor might blossom next year drink,92,58.0,Pinot Noir,244
115,US,momtazi vineyard bottling boedecker cellar produced two barrel cherry grove designate fragrant focused effort scented rose petal cherry candy carrying spicy cinnamon streak textural cola laced finish,90,50.0,Pinot Noir,266
116,US,given diverse clonal make vine go pinot aroma somewhat muted shy earthy spicy fruit flavor characterized baked red raspberry strawberry note wine taking denseness palate finish,85,43.0,Pinot Noir,263
117,US,pleasing blend yield spicy fruity wine sweet strawberry cherry candy flavor though two third new oak used prominent smooth accessible delicious wine accented aroma sweet straw,90,29.0,Red Blend,235
118,Italy,much like retro package time content one dimensional heavily toasted oak narrow fruit vintage read vanilla coconut shading dry powdery tannin mark taut finish,83,26.0,Sangiovese,260
119,Italy,youthful expression dolcetto offer dark concentrated style noticeable mineral tone slice lush blueberry raspberry aroma wine tonic vibrant although huge complexity good fresh quality fruit,87,15.0,Dolcetto,284
120,US,incredibly rich ripe blackberry black currant dark chocolate lovely veneer toasted oak tannin super smooth drink,93,70.0,Cabernet Sauvignon,164
121,France,blueberry fruit mingles cinnamon tinged oak spice nose palate offering even enough depth complexity make simple quaff worthy washing simply roasted chicken perhaps,86,18.0,Rhône-style Red Blend,228
122,US,start nice good fruity raspberry nose palate taste tomato dry astringent tannic finish,83,20.0,Zinfandel,133
123,US,lovely complex cabernet mountain southerly mayacamas chain show big firm tannin origin dry sturdiness backing intense black currant flavor drinkable sheer decadence although also seems stuffing age decade,92,70.0,Cabernet Sauvignon,297
124,US,difficult find much like smell baked porty taste overtly sweet residual sugar like cherry raspberry jam,80,8.0,Cabernet Sauvignon,135
125,US,fermented aged stainless steel without going malolactic fermentation steely waxy albarino ready tapa offering big bold taste peach apricot textured long lasting tangible acidity make seafood especially shellfish sing,88,18.0,Albariño,273
126,Italy,pretty aromatic package melon pineapple apple pear good hugely complex definitely casual approachable imported halby marketing,87,10.0,Pinot Grigio,169
127,US,aroma rose lychee pineapple followed appealing flavor lemon tropical fruit flower give wine flirty poised character balanced fresh best paired summer salad spicy ethnic cuisine,87,20.0,Gewürztraminer,238
128,US,rustic slightly raisiny bordeaux blend little syrah also sourced excellent vineyard bit overripe soft forward little leathery ready drink,85,16.0,Red Blend,189
129,France,wood aging add smoky character toasty flavor also smoothing tannin rich vintage wine show plum fruit firm tannin could still age drink,90,42.0,Gamay,207
130,France,made year old vine evidenced concentration serious ageability structured firm relatively dry young stage wine need least year today open bottle watch mineral stony character push fruit demand attention,93,85.0,Chardonnay,303
131,US,made modern style chardonnay ripe rich jammy pineapple green apple lime enhanced smoky caramelized oak creamy slightly sour note lee fortunately balanced crisp acidity best fruit go south,88,40.0,Chardonnay,288
132,US,cassis plum aroma mid weight cabernet sauvignon foothill taste licorice vanilla particularly finish testament month new american oak,86,28.0,Cabernet Sauvignon,195
133,France,wine soft rounded ready drink without concentration great acidity white light green fruit delicious giving open character framed toasty flavor spice,88,80.0,Chardonnay,217
134,US,peppery bright acidity blend half grenache lesser percentage mourvèdre syrah counoise bit mixed one hand offer red raspberry pomegranate perfumed aromatics hand earthiness detracts,86,30.0,Rhône-style Red Blend,254
135,US,every dyer cabernet requires aging bottling tough tannin despite intense blackberry cherry oak flavor winemaker held back release even longer still juvenile unintegrated oak fruit mineral note window drinkability,92,75.0,Cabernet Sauvignon,320
136,US,soapy mouthfeel often indicator high ph wine apple pear fruit flavor mild thin,84,25.0,Chardonnay,118
137,Spain,mildly floral nose lead lean acidic palate flavor lemon green apple,82,19.0,Muscat,96
138,US,tannic rough,80,11.0,Cabernet Merlot,19
139,Italy,light easy prosecco extra dry note recall cut grass hay much way flower fruit aroma although hint ripe banana cardboard tonic lean crisp freshness close,84,15.0,Prosecco,250
140,US,age six plus year cab still dominated new french oak aged fruit flavor young primary offering sweetly ripe cherry blackberry even tannin fresh suggestion continued cellaring statistic concerning alcohol acidity ph suggest ideal balance hold least year try,92,85.0,Cabernet Sauvignon,384
141,US,exotic complex medium bodied structured wine awash aroma charcuterie mixed nut cedar pencil anchoring dusty tannic profile punch oak,92,90.0,Cabernet Sauvignon,188
142,US,color oxblood meaty tannic wine pours espresso black licorice composted earth around tart blackberry fruit aromatic spicy nicely balanced,89,32.0,Syrah,168
143,US,sweet port chocolate prune flavor feel hot chile pepper nearly alcohol,81,50.0,Zinfandel,108
144,US,devastatingly good bordeaux blend howell mountain based cabernet flavor could ask blackberry cherry cassis chocolate herb spice sweetly smoked oak structure awesome near perfect tannin soft intricately firm grand acidity make total cabernet experience tremendous age year,97,120.0,Bordeaux-style Red Blend,385
145,US,roll st jean chardonnay wine made majority robert young belle terre vineyard fruit two third new french oak combination mind blowing vineyard contribute concentrated spicy tropical fruit flavor perfect acid balance oak provides elaborate seasoning absolutely delicious one satisfying chard vintage,96,45.0,Chardonnay,409
146,US,pure cab franc stylish varietal new oak limited giving kick natural toastiness grape fruit mix blueberry black cherry streak cassis run luscious mocha espresso highlight black pepper cedar tannin beautifully managed,90,32.0,Cabernet Franc,334
147,US,syrah component estate grown grenache come lonesome spring vineyard lovely nose bright grapey grenache shining adding pretty floral scent syrah fill berry peppery tannin still quite purple youthful fresh bit volatile,88,28.0,Syrah,340
148,US,challenging zin fruity also earthy mushroomy blast vanilla oak right pretty tannic beneath roughness core fruit austere time cellar could soften open,86,35.0,Zinfandel,266
149,US,smooth dry appealing flavor blackberry cherry currant cedar fine spicy finish show amazing style elegance price real sommelier bargain case produced,88,10.0,Cabernet Sauvignon,214
150,Spain,nice traditionally styled rioja delivers smooth earthy leathery aroma spicy dry fruit right rioja good acidity respectable table wine weak vintage,87,28.0,Tempranillo,215
151,Italy,bold full bodied offer aroma steeped plum prune clove blue flower concentrated savory palate dole mature blackberry raisin clove licorice big velvety tannin enough freshness give surprisingly drinkable quality belies heft,90,30.0,Primitivo,291
152,US,smell earthy funky strong hit green pepper bell pepper cracked black pepper appear palate feature currant licorice lot oak bright acidity help along escape vegetal core hold back,86,30.0,Cabernet Sauvignon,283
153,US,extraordinarily rich ripe showing sweet raspberry cherry fruit flavor enhanced vanilla buttered toast oak barrel brilliant acidity wonderfully soft tannin make pinot instantly drinkable yet age next year,94,70.0,Pinot Noir,268
154,US,chris dowsett make single gewürztraminer year always celilo vine planted coolest vintage two decade high altitude site love searing acidity married varietal spice rose petal lemon grapefruit star fruit gooseberry treat fermented neutral french oak left lee could age decade,91,22.0,Gewürztraminer,397
155,US,wine judiciously restrained nose show black fruit dried herb asphalt focused rather exuberant fig plum aroma lot minty lift tip palate open toward mission fig fudge mocha,93,30.0,Zinfandel,247
156,US,chardonnay brisk crisp acidity flavor pineapple orange mango dominating note buttered toast sweet butterscotch,84,30.0,Chardonnay,153
157,US,wine one anderson valley pioneer lighter usual color plenty red cherry raspberry turned earth aroma offer low level fruit flavor good balance acidity versus ripeness,87,25.0,Pinot Noir,219
158,Italy,red passito dessert wine tuscany offer bittersweet aroma wild cherry raspberry cassis cola make simple clean impression mouth would pair chocolate brownie cherry pie,86,32.0,Red Blend,218
159,US,deeply flavored impressive intensely young cabernet based bordeaux blend hail mount veeder hallmark wine need time cellar sweetly extracted black currant licorice fruit massive cedary oak new french considerable mountain tannin give hard astringent mouthfeel solidly modern napa style opulent wine improve next six year least,94,56.0,Bordeaux-style Red Blend,465
160,Italy,wine boast oak driven character aroma espresso coffee toasted almond palate show red black fruit layered accent oak chocolate black pepper technically well made shy personality length,86,27.0,Red Blend,246
161,US,little soft acidity tannin perfect structure fine enough flavor certainly complex compelling range blackberry tart cherry pie dr pepper cola anise liqueur bacon sandalwood sound good ready,90,39.0,Red Blend,301
162,France,well balanced wine crisp breezy full delicious red berry fruit tight texture minerality tangy aftertaste make excellent apéritif,90,15.0,Rosé,211
163,Italy,ero packed tight bright berry cassis white almond sicilian jamminess sometimes find variety absent,88,25.0,Nero d'Avola,142
164,US,evenly dispersed nose sage bark cherry compote lightly toasted cedar introduces bottling fred brander santa ynez valley winemaking pioneer actively trying create new los olivos district appellation flavor balanced cherry fruit oak smooth tannin throughout,91,50.0,Cabernet Sauvignon,316
165,US,heavy sweet wine melted cherry jam dr pepper flavor heat alcohol,84,56.0,Pinot Noir,103
166,Italy,blend sangiovese syrah coastal tuscany open bright fruit somewhat lean texture delivers lively berry note wild strawberry white cherry good value wine would pair well pizza pasta,84,10.0,Red Blend,239
167,US,consistent rather lean house style open herbal aroma set firm varietal cassis blue plum fruit grape come block planted barrel spice add cinnamon nose touch cab franc blend stiffens tannin retasting wine spent extra month bottle smoothed bit sweet black cherry fruit moved forward age really well,89,28.0,Cabernet Sauvignon,478
168,US,vintage fabulous one williams selyem zinfandel benefited cool balanced growing season papera big rich jammy wine also drily elegant one offer wave raspberry fig newton red currant canadian bacon flavor superfine tannin exuberant zinfandel next six year,94,48.0,Zinfandel,355
169,US,complicated time confusingly dank aroma mushroom hop dill wet herb emerge bottling atypical varietal character find way onto palate well olive stewed mushroom leading way,84,50.0,Cabernet Sauvignon,241
170,France,still way young developing substantial structured wine full fruit tannin dark dense dry stage enticing perfume grand cru split chambolle musigny morey saint denis known structure wine great example drink,93,463.0,Pinot Noir,341
171,US,great napa valley merlot winery generally good track record variety grape grown coombsville region although allowed get ripe resulting fairly high alcohol rich cherry berry dark chocolate anise flavor notable grippy tannin give firm dry mouthfeel,92,42.0,Merlot,355
172,US,silly name good wine acid tannin dominate making astringent bitter cherry fruit thin rather overripe,82,60.0,Sangiovese,163
